UNITID_P,INSTNM,BRANCH,Address,City,State,Zip,sector_cd,sector_desc,total,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
126119001,Yuba College,"Yuba College, Marysville",2088 N BEALE RD,MARYSVILLE,CA,95901,4,"Public, 2-year",9903,0,0,0,0,0,1,5,0,0,6
126119002,Yuba College,Woodland Community College,2300 East Gibson Road,Woodland,CA,95776,4,"Public, 2-year",9903,0,0,0,0,0,0,3,0,0,3
126119003,Yuba College,Clear Lake Center,15880 Dam Road Extension,Clearlake,CA,95422,4,"Public, 2-year",9903,0,0,0,0,0,0,0,0,0,0
126164001,The Salon Professional Academy,Main Campus,2938 NORTH AVE,GRAND JUNCTION,CO,81504,9,"Private for-profit, less-than 2-year",61,0,0,0,0,0,0,0,0,0,0
126182001,Adams State College,Adams State College,208 EDGEMONT BLVD,ALAMOSA,CO,811020001,1,"Public, 4-year or above",8853,0,0,3,0,0,1,2,1,0,7
126207001,Aims Community College,Main Campus,5401 W. 20th St.,GREELEY,CO,80632,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
126207002,Aims Community College,Aims Community College - Loveland Campus,104 E. Fourth Street,Loveland,CO,80537,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
126207003,Aims Community College,Aims Community College - Fort Lupton Campus,260 College Avenue,Fort Lupton,CO,80621,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
126289001,Arapahoe Community College,Arapahoe Community College,5900 S. Santa Fe Drive,Littleton,CO,80120,4,"Public, 2-year",,0,0,0,0,0,1,4,2,2,9
126359001,Bel-Rea Institute of Animal Technology,Main Campus,1681 S DAYTON ST,DENVER,CO,80247,6,"Private for-profit, 2-year",644,0,0,0,0,0,0,1,0,0,1
126401001,Everest College-Colorado Springs,Everest College,1815 Jet Wing Drive,COLORADO SPRINGS,CO,80916,6,"Private for-profit, 2-year",,0,0,0,0,0,0,2,0,0,2
126410001,Boulder College of Massage Therapy,Main Campus,6255 LONGBOW DR,BOULDER,CO,803013295,5,"Private nonprofit, 2-year",,0,0,0,0,0,0,0,0,0,0
126562001,University of Colorado Denver,University of Colorado Denver - Downtown,P.O. Box 173364  Campus Box 151,DENVER,CO,802173364,1,"Public, 4-year or above",,0,0,0,0,0,3,45,8,1,57
126562002,University of Colorado Denver,UCHSC - 9th Ave Campus,4200 East 9th Avenue - Campus Box A071,Denver,CO,80262,1,"Public, 4-year or above",,0,0,0,0,0,0,16,1,0,17
126562003,University of Colorado Denver,UCDHSC - Anschutz Medical Campus,"Mail Stop 409, P.O. Box 6508",Aurora,CO,800450508,1,"Public, 4-year or above",,0,0,0,0,0,0,6,2,0,8
126580001,University of Colorado at Colorado Springs,University of Colorado at Colorado Springs,1420 AUSTIN BLUFFS PKWY,COLORADO SPRINGS,CO,80918,1,"Public, 4-year or above",8660,0,0,0,0,0,0,5,1,0,6
126605001,Redstone College,Main Campus,10851 W 120TH AVE,BROOMFIELD,CO,800213465,6,"Private for-profit, 2-year",,0,0,0,0,0,0,0,0,0,0
126614001,University of Colorado at Boulder,Main Campus,Campus Box 17 UCB,BOULDER,CO,803090017,1,"Public, 4-year or above",,0,0,12,1,4,11,99,24,20,171
126669001,Colorado Christian University,Main Campus,8787 W. Alameda,LAKEWOOD,CO,80226,2,"Private nonprofit, 4-year or above",2151,0,0,0,0,0,0,9,0,0,9
126678001,Colorado College,Main Campus,14 E CACHE LA POUDRE,COLORADO SPRINGS,CO,80903,2,"Private nonprofit, 4-year or above",2075,0,0,4,0,0,0,14,0,0,18
126687001,Concorde Career Colleges,Concorde Career College,111 N. Havana St.,Aurora,CO,800104314,6,"Private for-profit, 2-year",626,0,0,0,0,0,0,0,0,0,0
126702001,The Art Institute of Colorado,Main Campus,1200 Lincoln Street,DENVER,CO,802032114,3,"Private for-profit, 4-year or above",2925,0,0,0,0,0,0,3,1,0,4
126711001,Colorado Mountain College,Main Campus,831 Grand Ave.,GLENWOOD SPRINGS,CO,81601,4,"Public, 2-year",,0,0,0,0,0,1,3,0,0,4
126748001,Colorado Northwestern Community College,CNCC Campus,500 KENNEDY DR,RANGELY,CO,81648,4,"Public, 2-year",,0,0,0,0,0,0,4,1,0,5
126775001,Colorado School of Mines,main campus,1500 ILLINOIS ST,GOLDEN,CO,80401,1,"Public, 4-year or above",,0,0,3,0,1,2,6,4,1,17
126784001,Colorado School of Trades,Main Campus,1575 HOYT ST,LAKEWOOD,CO,802152996,6,"Private for-profit, 2-year",147,0,0,0,0,0,0,0,0,0,0
126818001,Colorado State University,Main Campus,102 Administration Building,Fort Collins,CO,805230100,1,"Public, 4-year or above",16855,0,0,1,2,0,2,17,8,5,35
126827001,Colorado Technical University,Main Campus,4435 N CHESTNUT STREET,COLORADO SPRINGS,CO,809073812,3,"Private for-profit, 4-year or above",2320,0,0,0,0,0,0,0,0,0,0
126827002,Colorado Technical University,Pueblo satellite,1025 West 6th Street,Pueblo,CO,810032315,3,"Private for-profit, 4-year or above",2320,0,0,0,0,0,0,0,0,0,0
126854001,Artistic Beauty Colleges-Lakewood,Main Campus,441 WADSWORTH BLVD,LAKEWOOD,CO,80226,6,"Private for-profit, 2-year",48,0,0,0,0,0,0,0,0,0,0
126863001,Community College of Aurora,CentreTech Campus,16000 E CentreTech Pkwy.,Aurora,CO,800119036,4,"Public, 2-year",,0,0,0,0,0,0,0,2,0,2
126872001,College America-Denver,Main Campus,"1385 S COLORADO BLVD., 5TH FLOOR",DENVER,CO,80222,3,"Private for-profit, 4-year or above",,0,0,0,0,0,0,0,0,0,0
126915001,Delta Montrose Technical College,Main Campus,1765 US HWY 50,DELTA,CO,81416,7,"Public, less-than 2-year",1803,0,0,0,0,0,0,0,0,0,0
126924001,Denver Academy of Court Reporting-Main Campus,Main Campus,"9051 Harlan Street, Unit 20",Westminster,CO,80030,6,"Private for-profit, 2-year",150,0,0,0,0,0,0,0,0,0,0
126942001,Community College of Denver,CCD Auraria,1111 W. Colfax Ave.,DENVER,CO,802042026,4,"Public, 2-year",,0,0,0,0,0,3,45,8,1,57
126942002,Community College of Denver,CCD Lowry,1070 Alton Way,Denver,CO,802307104,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
126942003,Community College of Denver,CCD Southwest,3001 S Federal Blvd,Denver,CO,802362711,4,"Public, 2-year",,0,0,0,0,0,0,0,1,0,1
126942004,Community College of Denver,CCD East,3240 Humboldt Street,Denver,CO,802053934,4,"Public, 2-year",,0,0,0,0,0,0,0,0,0,0
