ID,Name,SubName,State,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime,
157085001,University of Kentucky,University of KY,KY,25856,0,0,18,0,5,31,32,8,4,98,
157289001,University of Louisville,Main Campus,KY,20592,0,0,0,0,4,0,29,5,0,38,
157386001,Morehead State University,Main Campus,KY,0,0,0,5,0,0,10,18,0,1,34,
157401001,Murray State University,Main Campus,KY,10778,0,0,3,0,0,1,22,0,10,36,
157447001,Northern Kentucky University,Main Campus,KY,14785,0,0,3,0,2,0,6,0,2,13,
157483001,West Kentucky Community and Technical College,WEST KENTUCKY COM. & TECH. COLLEGE,KY,0,0,0,0,0,0,0,9,0,0,9,
157711001,Somerset Community College,Main Campus,KY,0,0,0,0,0,0,2,4,0,0,6,
157711003,Somerset Community College,Somerset Campus South,KY,0,0,0,0,0,0,0,4,0,0,4,
157951001,Western Kentucky University,Western Kentucky University - Main Campus,KY,19258,0,0,4,0,6,17,68,3,3,101,
158431001,Bossier Parish Community College,Main Campus,LA,0,0,0,0,0,0,0,0,0,0,0,
158662001,Delgado Community College,Main Campus,LA,13210,0,0,0,0,0,0,1,1,0,2,
159391001,Louisiana State University and Agricultural & Mechanical College,Main Campus,LA,28628,2,0,1,0,9,6,119,23,2,162,
159647001,Louisiana Tech University,Main Campus,LA,10564,0,0,0,0,2,1,20,4,2,29,
159717001,McNeese State University,Main Campus,LA,0,0,0,0,0,1,1,10,2,0,14,
159939001,University of New Orleans,Main Campus,LA,11363,0,0,0,0,1,1,0,5,0,7,5
159966001,Nicholls State University,Main Campus,LA,6864,0,0,1,0,0,5,3,1,0,10,2
159993001,University of Louisiana at Monroe,Main Campus,LA,8549,0,0,0,0,2,5,17,4,0,28,
160038001,Northwestern State University of Louisiana,Main Campus,LA,9037,0,0,1,0,0,0,8,0,0,9,
160612001,Southeastern Louisiana University,Main Campus,LA,14744,0,0,4,0,2,3,45,13,1,68,
160621001,Southern University and A & M College,SOUTHERN UNIVERSITY-BATON ROUGE,LA,8288,0,0,2,0,3,8,51,5,0,69,
160658001,University of Louisiana at Lafayette,UNIVERSITY OF LOUISIANA AT LAFAYETTE,LA,0,0,0,2,0,0,0,4,0,0,6,
160755001,Tulane University of Louisiana,Main Campus,LA,10125,0,0,3,0,1,20,64,6,0,94,
160755002,Tulane University of Louisiana,Tulane University Health Sciences Center Campus,LA,10125,0,0,0,0,0,9,13,1,0,23,
434061001,South Louisiana Community College,Main Campus,LA,0,0,0,0,0,0,0,0,0,0,0,
437103001,Baton Rouge Community College,Main Campus,LA,0,0,0,0,0,0,1,3,0,0,4,
164739001,Bentley College,Main Campus,MA,0,0,0,0,0,0,3,19,0,0,22,
164924001,Boston College,Main Campus,MA,14621,0,0,12,0,0,12,65,2,0,91,
164988001,Boston University,Boston University Charles River Campus,MA,32053,0,0,7,0,1,2,62,2,0,74,
164988002,Boston University,Boston University Medical Campus,MA,32053,0,0,0,0,1,0,5,0,0,6,
165015001,Brandeis University,Main Campus,MA,5333,0,0,0,0,0,1,12,0,0,13,
165024001,Bridgewater State College,Main Campus,MA,9934,0,0,1,0,0,5,49,0,0,55,
165033001,Bristol Community College,Main Campus,MA,7388,0,0,0,0,0,0,0,0,0,0,
165112001,Bunker Hill Community College,Main Campus,MA,8806,0,0,0,0,4,4,2,1,0,11,
165820001,Fitchburg State College,Main Campus,MA,6692,0,0,0,0,0,0,59,2,0,61,
165866001,Framingham State College,Main Campus,MA,5903,0,0,1,0,0,1,7,0,0,9,
166027001,Harvard University,Cambridge Campus,MA,25690,0,0,15,0,3,8,259,5,0,290,
166027002,Harvard University,Longwood Campus,MA,25690,0,0,0,0,0,0,42,0,0,42,
166133001,Holyoke Community College,Main Campus,MA,6461,0,0,0,0,0,0,0,4,0,4,
166513001,University of Massachusetts-Lowell,University of Massachusetts Lowell,MA,11635,0,0,4,0,5,10,47,7,1,74,
166629001,University of Massachusetts Amherst,Main Campus,MA,25873,0,0,9,0,4,8,62,6,1,90,
166638001,University of Massachusetts-Boston,Harbor Campus,MA,13433,0,0,0,0,1,0,33,0,0,34,
166647001,Massachusetts Bay Community College,Main Campus,MA,0,0,0,0,0,0,0,0,0,0,0,
166647002,Massachusetts Bay Community College,Framingham,MA,0,0,0,0,0,0,0,0,0,0,0,
166683001,Massachusetts Institute of Technology,Main Campus,MA,10220,0,0,2,0,0,5,197,10,1,215,
166823001,Massasoit Community College,Main Campus,MA,7064,0,0,0,0,0,1,1,0,0,2,
166887001,Middlesex Community College,BEDFORD,MA,8124,0,0,0,0,0,0,0,2,0,2,
166887002,Middlesex Community College,LOWELL,MA,8124,0,0,0,0,0,0,1,0,0,1,
167312002,North Shore Community College,Lynn Campus,MA,0,0,0,0,0,0,0,0,0,0,0,
