UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,total,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
232256001,Hampden-Sydney College,Main Campus,"College Road, Box 128",Hampden-Sydney,VA,239430128,2,"Private nonprofit, 4-year or above",1068,0,0,1,0,0,1,2,2,0,6
232265001,Hampton University,Main Campus,EAST QUEEN STREET,HAMPTON,VA,236680099,2,"Private nonprofit, 4-year or above",5402,0,0,0,0,1,9,41,0,0,51
232265002,Hampton University,HAMPTON UNIVERSITY COLLEGE OF VA BEACH,253 TOWN CENTER DRIVE,VIRGINIA BEACH,VA,23462,2,"Private nonprofit, 4-year or above",5402,0,0,0,0,0,0,0,0,0,0
232265003,Hampton University,HAMPTON UNIVERSITY CONTINUING ED ROANOKE BRANCH,108 NORTH JEFFERSON STREET SUITE 509,ROANOKE,VA,24016,2,"Private nonprofit, 4-year or above",5402,0,0,0,0,0,0,0,0,0,0
232308001,Hollins University,Hollins University Campus,7916 WILLIAMSON RD NW,ROANOKE,VA,24020,2,"Private nonprofit, 4-year or above",1057,0,0,0,0,0,0,4,0,0,4
232414001,J Sargeant Reynolds Community College,Parham Road Campus,1651 E. Parham Road,RICHMOND,VA,23228,4,"Public, 2-year",12729,0,0,0,0,0,0,0,0,0,0
232414002,J Sargeant Reynolds Community College,Downtown Campus,700 E. Jackson Street,Richmond,VA,23219,4,"Public, 2-year",12729,0,0,0,0,0,0,0,0,0,0
232414003,J Sargeant Reynolds Community College,Western Campus,1851 Dickenson Road,Goochland,VA,230633237,4,"Public, 2-year",12729,0,0,0,0,0,0,0,0,0,0
232423001,James Madison University,Main Campus-Harrisonburg,821 South Main Street  MSC 6810,HARRISONBURG,VA,22807,1,"Public, 4-year or above",18971,0,0,4,0,0,0,23,0,0,27
232423002,James Madison University,Madison House (London Semester - Branch Campus),14 Bedford Place,London,,WC1B 5JA,1,"Public, 4-year or above",18971,0,0,0,0,0,0,0,0,0,0
232423003,James Madison University,"Antwerp Hall, JMU Semester in Antwerp, Belgium",2 Rodestraat,Antwerp,,B-2000,1,"Public, 4-year or above",18971,0,0,0,0,0,0,0,0,0,0
