ID,Name,SubName,State,TotalPeople,Murder,NegligentManslaughter,ForcibleSexOffense,NonforcibleSexOffense,Robbery,AggravatedAssault,Burglary,VehicleTheft,Arson,TotalCrime
207388002,Oklahoma State University-Main Campus,Oklahoma State University - Tulsa,OK,25962,0,0,0,0,1,0,0,2,0,3
230782001,Weber State University,Ogden Campus,UT,25954,0,0,0,0,0,0,7,0,0,7
230782002,Weber State University,Davis Campus,UT,25954,0,0,0,0,0,0,0,1,0,1
100858001,Auburn University,Main Campus,AL,25912,0,0,5,0,1,4,21,8,0,39
140164001,Kennesaw State University,Main Campus,GA,25714,0,0,9,0,1,1,7,0,0,18
140164002,Kennesaw State University,Kennesaw State University Marietta Campus,GA,25714,0,0,1,0,1,0,3,1,0,6
131469001,George Washington University,Main Campus,DC,25613,0,0,35,0,0,1,11,1,0,48
131469002,George Washington University,Mount Vernon Campus,DC,25613,0,0,1,0,0,0,0,0,0,1
131469007,George Washington University,Hampton Roads Center,VA,25613,0,0,0,0,1,0,0,0,0,1
163426001,Montgomery College,Montgomery College:Main Campus,MD,25517,0,0,3,0,0,0,2,0,0,5
163426003,Montgomery College,Montgomery College:Germantown,MD,25517,0,0,1,0,0,0,0,0,0,1
133702003,Florida State College at Jacksonville,Kent,FL,25514,0,0,1,0,1,0,0,2,0,4
133702005,Florida State College at Jacksonville,South,FL,25514,0,0,0,0,1,0,0,0,1,2
133702008,Florida State College at Jacksonville,Cecil Center,FL,25514,0,0,0,0,0,0,0,1,0,1
170082001,Grand Valley State University,Allendale Campus,MI,25094,0,0,13,0,2,1,4,0,0,20
170082002,Grand Valley State University,Robert C. Pew Campus (Grand Rapids),MI,25094,0,0,2,0,0,1,2,0,0,5
170082007,Grand Valley State University,Muskegon Regional Center at Muskegon Community College,MI,25094,0,0,2,0,0,0,0,0,0,2
114859001,Fullerton College,FULLERTON COLLEGE,CA,25051,0,0,0,0,0,2,1,3,0,6
181464001,University of Nebraska-Lincoln,Main Campus,NE,25006,0,0,10,0,0,3,14,1,0,28
232982001,Old Dominion University,Old Dominion University,VA,24932,0,0,12,1,3,7,10,5,0,38
120971001,Palomar College,Main Campus,CA,24914,0,0,0,0,0,2,2,3,10,17
215062001,University of Pennsylvania,Main Campus,PA,24806,0,0,13,0,6,8,29,2,2,60
155399001,Kansas State University,Main Campus,KS,24766,0,0,9,0,0,2,7,1,0,19
155399002,Kansas State University,Kansas State University Salina,KS,24766,0,0,0,0,0,0,1,0,0,1
196097001,Stony Brook University,Stony Brook University,NY,24607,0,0,6,0,3,4,25,1,1,40
202222001,Columbus State Community College,Columbus State Commuity College,OH,24448,0,0,0,0,0,0,2,1,0,3
117645001,Long Beach City College,Liberal Arts Campus,CA,24403,0,0,0,0,0,0,5,7,0,12
117645002,Long Beach City College,Pacific Coast Campus,CA,24403,0,0,0,0,1,3,3,0,0,7
113980001,El Camino Community College District,Main Campus,CA,24207,0,0,3,0,2,1,2,7,0,15
122375001,San Diego Mesa College,Main Campus,CA,24159,0,0,1,0,0,0,0,1,0,2
136215001,Nova Southeastern University,Main Campus,FL,24148,0,0,0,0,0,2,2,1,0,5
136215003,Nova Southeastern University,Nova Southeastern University - North Miami Beach,FL,24148,0,0,0,0,1,0,0,0,0,1
209551001,University of Oregon,Main Campus,OR,24096,0,0,11,0,1,4,24,6,12,58
171535002,Oakland Community College,Southfield,MI,24031,0,0,0,0,0,0,0,1,0,1
171535003,Oakland Community College,Royal Oak,MI,24031,0,0,1,0,1,0,0,0,0,2
110529001,California State Polytechnic University-Pomona,Main Campus,CA,23966,0,0,6,0,1,1,9,15,0,32
200800001,University of Akron Main Campus,Main Campus,OH,23962,0,0,6,0,1,0,1,4,0,12
172699001,Western Michigan University,Main Campus,MI,23914,0,0,13,0,2,7,15,0,13,50
172699006,Western Michigan University,Muskegon Regional Center,MI,23914,0,0,2,0,0,0,0,0,0,2
144740001,DePaul University,Main Campus - Lincoln Park Campus,IL,23799,0,0,9,0,0,3,11,0,0,23
144740002,DePaul University,Loop Campus,IL,23799,0,0,0,0,0,1,2,0,0,3
234076001,University of Virginia-Main Campus,Main Campus,VA,23732,0,0,39,0,1,0,35,6,3,84
112190001,City College of San Francisco,Ocean Campus,CA,23610,0,0,1,0,2,0,1,3,0,7
112190004,City College of San Francisco,Chinatown/ North Beach Campus,CA,23610,0,0,0,0,0,0,1,0,0,1
112190006,City College of San Francisco,Evans Campus,CA,23610,0,0,0,0,0,1,1,0,0,2
112190007,City College of San Francisco,Gough Administrative Offices (District Office),CA,23610,0,0,0,0,0,0,1,1,0,2
153214001,Des Moines Area Community College,Des Moines Area Com. Col. - Ankeny Campus,IA,23526,0,0,0,0,0,2,0,0,0,2
153214006,Des Moines Area Community College,Des Moines Area Com. Col. - Urban Campus,IA,23526,0,0,2,0,0,0,0,0,0,2
122180001,Sacramento City College,Main Campus,CA,23317,0,0,0,0,0,1,0,5,0,6
484631009,University of Phoenix-California,San Diego Campus,CA,23257,0,0,0,0,0,0,0,1,0,1
484631029,University of Phoenix-California,Ontario Learning Center,CA,23257,0,0,0,0,0,0,0,1,0,1
484631039,University of Phoenix-California,Murrieta Learning Center,CA,23257,0,0,0,0,1,0,0,0,0,1
484631041,University of Phoenix-California,Sacramento Valley Campus,CA,23257,0,0,0,0,0,0,0,1,0,1
110556001,California State University-Fresno,Main Campus,CA,23179,0,0,1,0,2,0,13,6,1,23
123013001,Santa Rosa Junior College,Santa Rosa Campus,CA,23144,0,0,0,0,0,0,1,4,1,6
190594001,CUNY Hunter College,Main Campus,NY,23112,0,0,0,0,0,0,4,0,1,5
190594004,CUNY Hunter College,Brookdale,NY,23112,0,0,0,0,1,0,1,0,0,2
139755001,Georgia Institute of Technology-Main Campus,Main Campus,GA,23109,0,0,13,0,5,3,45,16,0,82
113333001,De Anza College,Main Campus,CA,23104,0,0,0,0,2,2,4,3,0,11
228787001,The University of Texas at Dallas,Main Campus,TX,23095,0,0,5,0,1,0,11,0,0,17
228796001,The University of Texas at El Paso,Main Campus,TX,23079,0,0,1,0,0,1,13,5,1,21
228796002,The University of Texas at El Paso,Campbell Building Campus,TX,23079,0,0,0,0,0,0,1,0,0,1
110705001,University of California-Santa Barbara,Main Campus,CA,23051,0,0,12,0,5,2,15,2,2,38
170790001,Macomb Community College,South Campus (Main Campus),MI,22914,0,0,1,0,0,2,0,1,0,4
170790002,Macomb Community College,Center Campus,MI,22914,0,0,1,0,0,0,0,0,0,1
434672001,The Community College of Baltimore County,CCBC Catonsville Campus,MD,22887,0,0,0,0,0,0,5,0,0,5
434672002,The Community College of Baltimore County,CCBC Essex Campus,MD,22887,0,0,0,0,0,0,0,2,0,2
434672003,The Community College of Baltimore County,CCBC Dundalk Campus,MD,22887,0,0,0,0,0,0,3,0,0,3
126562001,University of Colorado Denver,University of Colorado Denver - Downtown,CO,22791,0,0,3,0,0,1,18,6,0,28
126562003,University of Colorado Denver,UCDHSC - Anschutz Medical Campus,CO,22791,0,0,4,0,0,0,8,2,0,14
220978001,Middle Tennessee State University,Main Campus,TN,22729,0,0,6,0,5,3,9,7,1,31
105154001,Mesa Community College,Mesa Community College,AZ,22711,0,0,0,0,0,0,6,0,0,6
105154003,Mesa Community College,Downtown Center,AZ,22711,0,0,0,0,0,0,1,0,0,1
130943001,University of Delaware,Main Campus,DE,22680,0,0,12,0,3,3,27,0,0,45
390701001,Everest University-South Orlando,Everest University - Orlando South,FL,22535,0,0,0,0,0,1,0,1,0,2
176017001,University of Mississippi,Main Campus,MS,22503,0,0,4,0,2,6,5,4,0,21
176017002,University of Mississippi,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,MS,22503,0,0,0,0,0,4,22,0,0,26
169798001,Eastern Michigan University,Eastern Michigan University,MI,22401,0,0,16,1,1,1,13,2,8,42
193478001,Nassau Community College,Main Campus,NY,22374,0,0,5,0,1,2,1,0,0,9
114789001,Fresno City College,Main Campus,CA,22307,0,0,1,0,3,0,12,12,0,28
164076001,Towson University,Towson University,MD,22285,0,0,5,0,0,5,5,1,0,16
142115001,Boise State University,Main Campus,ID,22227,0,0,6,0,0,2,4,0,1,13
142115004,Boise State University,Boise State University - College of Southern Idaho Extension,ID,22227,0,0,1,0,0,0,1,1,0,3
217882001,Clemson University,Main Campus,SC,21857,0,0,9,0,0,2,6,39,2,58
179566001,Missouri State University-Springfield,Springfield Campus,MO,21816,0,0,4,0,0,1,10,3,0,18
120342001,Orange Coast College,Main Campus,CA,21775,0,0,0,0,0,0,10,8,0,18
111887001,Cerritos College,Main Campus,CA,21774,0,0,1,0,1,0,3,13,0,18
190415001,Cornell University,Statutory and Endowed Campus,NY,21679,0,0,17,0,0,0,16,0,1,34
127565001,Metropolitan State University of Denver,Main Campus,CO,21674,0,0,2,0,0,1,18,6,0,27
157289001,University of Louisville,Main Campus,KY,21561,0,0,2,0,2,0,6,5,0,15
147767001,Northwestern University,Main Campus,IL,21554,0,0,6,0,0,2,19,0,1,28
147767002,Northwestern University,Graduate,IL,21554,0,0,1,0,0,0,8,0,1,10
110671001,University of California-Riverside,Main Campus,CA,21498,0,0,8,0,2,2,19,9,3,43
196413001,Syracuse University,Main Campus,NY,21492,0,0,6,0,1,0,40,4,0,51
199856001,Wake Technical Community College,Main Campus,NC,21384,0,0,0,0,0,0,5,1,0,6
199856002,Wake Technical Community College,Wake Technical Community College Heath Science Campus,NC,21384,0,0,0,0,0,0,1,0,0,1
199856003,Wake Technical Community College,Northern Wake Campus,NC,21384,0,0,0,0,0,3,2,0,0,5
244437001,Georgia Perimeter College,Clarkston Campus,GA,21371,0,0,0,0,1,0,0,3,0,4
244437003,Georgia Perimeter College,Decatur Campus,GA,21371,0,0,1,0,0,0,1,0,0,2
227924001,San Antonio College,Main Campus,TX,21280,0,0,1,0,0,0,13,2,0,16
179308001,Saint Louis Community College,St. Louis Community College- Forest Park,MO,21218,0,0,1,0,0,1,0,0,0,2
179308002,Saint Louis Community College,HARRISON CENTER,MO,21218,0,0,0,0,0,1,0,0,0,1
179308004,Saint Louis Community College,Saint Louis Community College-Florissant Valley,MO,21218,0,0,0,0,2,0,0,0,0,2
220862001,University of Memphis,Main Campus,TN,21059,0,0,2,0,2,3,38,4,1,50
117706001,Los Angeles Pierce College,Los Angeles Pierce College,CA,21034,0,0,2,0,0,2,7,1,0,12
227368001,The University of Texas-Pan American,University of Texas Pan American,TX,21015,0,0,1,0,0,0,5,3,0,9
232423001,James Madison University,Main Campus-Harrisonburg,VA,20855,0,0,5,0,0,2,21,0,0,28
150136001,Ball State University,Main Campus,IN,20655,0,0,19,0,0,2,10,0,0,31
150136002,Ball State University,Indianapolis Center,IN,20655,0,0,0,0,0,1,0,0,0,1
206084001,University of Toledo,University of Toledo,OH,20626,0,0,1,0,1,0,21,0,0,23
206084002,University of Toledo,Health Science Campus,OH,20626,0,0,0,0,2,0,2,0,0,4
145813001,Illinois State University,Main Campus,IL,20615,0,0,11,0,2,14,21,0,3,51
147703001,Northern Illinois University,Main Campus,IL,20611,0,0,10,0,1,11,9,3,5,39
223816001,Central Texas College,Main Campus,TX,20547,0,0,0,0,0,0,3,0,0,3
171571001,Oakland University,Main Campus,MI,20519,0,0,13,0,1,1,10,1,1,27
139931001,Georgia Southern University,Main Campus,GA,20517,0,0,5,0,1,0,8,0,0,14
104708001,Glendale Community College,Main Campus,AZ,20506,0,0,0,0,1,2,2,5,0,10
195809001,St John's University-New York,Main Campus,NY,20445,0,0,6,0,0,1,5,6,1,19
195809002,St John's University-New York,STATEN ISLAND,NY,20445,0,0,0,0,0,0,1,0,0,1
195809003,St John's University-New York,OAKDALE,NY,20445,0,0,0,0,0,0,1,0,0,1
190628001,CUNY LaGuardia Community College,LaGuardia Community College,NY,20231,0,0,2,0,0,0,0,0,1,3
212878002,Harrisburg Area Community College-Harrisburg,Harrisburg Area Community College Lancaster Campus,PA,20230,0,0,1,0,0,0,0,0,0,1
110422001,California Polytechnic State University-San Luis Obispo,Main Campus,CA,20186,0,0,14,0,0,1,11,8,2,36
157951001,Western Kentucky University,Western Kentucky University - Main Campus,KY,20171,0,0,0,0,0,0,17,1,0,18
176080001,Mississippi State University,Main Campus,MS,20138,0,0,7,0,2,0,42,5,0,56
113634001,Diablo Valley College,Main Campus,CA,20089,0,0,0,0,0,0,6,8,0,14
185590001,Montclair State University,Main Campus,NJ,20022,0,0,5,0,0,3,37,0,1,46
122205001,Saddleback College,Main Campus,CA,20007,0,0,0,0,0,1,6,0,0,7
198260001,Central Piedmont Community College,CPCC CENTRAL CAMPUS,NC,19957,0,0,1,0,1,1,0,1,0,4
198260002,Central Piedmont Community College,CPCC MERANCAS CAMPUS,NC,19957,0,0,0,0,0,0,1,0,0,1
182290001,University of Nevada-Reno,Main Campus,NV,19934,0,0,5,0,0,1,3,0,1,10
167358001,Northeastern University,Main Campus,MA,19798,0,0,14,0,0,1,12,0,0,27
167358003,Northeastern University,Seattle Campus,WA,19798,0,0,0,0,0,0,1,0,0,1
227881001,Sam Houston State University,Main Campus,TX,19573,0,0,2,0,0,1,7,2,0,12
111939001,Chaffey College,Rancho Campus,CA,19557,0,0,0,0,2,0,2,4,0,8
141574001,University of Hawaii at Manoa,University of Hawaii at Manoa,HI,19507,0,0,8,0,1,1,9,41,1,61
141574002,University of Hawaii at Manoa,Kaka'ako Campus Units,HI,19507,0,0,0,0,1,0,0,0,0,1
155210001,Johnson County Community College,Main Campus,KS,19429,0,0,1,0,0,0,1,0,0,2
227766001,Richland College,Main Campus,TX,19343,0,0,1,0,0,0,0,0,0,1
190664001,CUNY Queens College,Queens College,NY,19310,0,0,5,0,0,0,10,0,0,15
134237001,Full Sail University,Main Campus,FL,19285,0,0,0,0,1,1,1,2,0,5
152637001,Vincennes University,Main Campus,IN,19205,0,0,13,0,4,0,10,0,0,27
215239001,Community College of Philadelphia,Spring Garden Street (Main) Campus,PA,19119,0,0,0,0,0,0,14,0,0,14
135081007,Keiser University-Ft Lauderdale,KEISER UNIVERSITY- Miami,FL,19110,0,0,1,0,0,0,0,0,0,1
205470001,Sinclair Community College,Dayton Campus,OH,19093,0,0,0,0,1,0,0,0,0,1
102368001,Troy University,Troy Campus,AL,19041,0,0,0,0,0,0,19,2,0,21
102368004,Troy University,Dothan Campus,AL,19041,0,0,0,0,0,0,1,0,0,1
123800001,Southwestern College,SOUTHWESTERN COLLEGE,CA,19000,0,0,0,1,1,0,3,2,1,8
223427001,Blinn College,Main Campus,TX,18850,0,0,1,0,1,0,10,0,0,12
127200001,Front Range Community College,Westminster Campus,CO,18761,0,0,0,0,0,0,0,2,0,2
127200003,Front Range Community College,Boulder County Campus,CO,18761,0,0,0,0,0,0,1,0,0,1
117788001,Los Angeles City College,Los Angeles City College,CA,18756,0,0,1,0,0,0,0,0,0,1
100663001,University of Alabama at Birmingham,Main Campus,AL,18698,0,0,11,0,2,2,6,7,0,28
109819001,Bakersfield College,Bakersfield College,CA,18698,0,0,0,0,0,1,1,2,0,4
199148001,University of North Carolina at Greensboro,UNCG - Main Campus,NC,18647,0,0,14,0,1,2,16,3,0,36
117733001,Los Angeles Valley College,Los Angeles Valley College,CA,18641,1,0,0,0,1,0,7,0,0,9
204024001,Miami University-Oxford,Miami University-Oxford (204024),OH,18620,0,0,14,0,0,3,24,2,1,44
122658001,San Joaquin Delta College,Main Campus,CA,18572,0,0,1,0,2,2,2,4,0,11
122658002,San Joaquin Delta College,Manteca Center Farm,CA,18572,0,0,0,0,0,0,1,0,0,1
123341001,Sierra College,Rocklin Campus,CA,18565,0,0,0,0,0,0,1,2,0,3
123341002,Sierra College,Nevada County Campus,CA,18565,0,0,0,0,0,0,0,0,1,1
121901001,Riverside City College,Riverside City College,CA,18547,0,0,1,2,0,0,5,6,0,14
137209001,Seminole State College of Florida,Sanford/Lake Mary,FL,18399,0,0,0,0,0,0,3,0,0,3
137209005,Seminole State College of Florida,Altamonte Springs Campus,FL,18399,0,0,0,0,0,1,0,0,0,1
177995001,Metropolitan Community College-Kansas City,Metropolitan Community College-Longview Campus,MO,18222,0,0,2,0,0,0,0,0,0,2
177995002,Metropolitan Community College-Kansas City,Metropolitan Community College-Maple Woods,MO,18222,0,0,0,0,0,0,2,0,0,2
177995003,Metropolitan Community College-Kansas City,Metropolitan Community College-Penn Valley,MO,18222,0,0,0,0,0,0,2,1,1,4
177995006,Metropolitan Community College-Kansas City,Metropolitan Community College-Business & Technology,MO,18222,0,0,0,0,0,0,0,1,0,1
190512001,CUNY Bernard M Baruch College,Main Campus,NY,18090,0,0,1,0,0,1,1,0,0,3
115296001,Grossmont College,GROSSMONT COLLEGE,CA,18040,0,0,0,0,0,0,3,0,0,3
197869001,Appalachian State University,Main Campus,NC,18026,0,0,19,0,0,0,13,0,0,32
149222001,Southern Illinois University-Carbondale,Southern Illinois University Carbondale,IL,17989,0,0,15,0,1,7,37,0,0,60
122889001,Santa Barbara City College,Main Campus,CA,17927,0,0,0,0,0,0,1,0,2,3
110714001,University of California-Santa Cruz,Main Campus,CA,17866,0,0,17,0,2,2,26,6,2,55
207935001,Tulsa Community College,Metro Campus,OK,17861,0,0,1,0,0,0,1,3,0,5
207935002,Tulsa Community College,Northeast Campus,OK,17861,0,0,0,0,0,0,3,1,0,4
131496001,Georgetown University,Georgetown University Main Campus,DC,17858,0,0,14,0,1,2,41,3,0,61
131496002,Georgetown University,Georgetown University Law Center,DC,17858,0,0,1,0,0,0,2,0,0,3
190619001,CUNY Kingsborough Community College,Kingsborough Community College,NY,17758,0,0,1,0,0,1,0,0,0,2
134608001,Indian River State College,Main Campus,FL,17665,0,0,0,0,0,1,1,0,1,3
134608005,Indian River State College,Indian River State College-Pruitt,FL,17665,0,0,0,0,0,0,1,0,0,1
118976001,Modesto Junior College,MJC/East Campus,CA,17578,0,0,2,0,1,4,3,1,0,11
118976002,Modesto Junior College,MJC/West Campus and YCCD District Offices,CA,17578,0,0,1,0,0,0,1,2,0,4
217475001,Community College of Rhode Island,KNIGHT Campus,RI,17553,0,0,0,0,0,1,0,0,0,1
217475003,Community College of Rhode Island,Liston Campus,RI,17553,0,0,0,0,0,0,0,3,0,3
190549001,CUNY Brooklyn College,Main Campus,NY,17390,0,0,0,0,0,0,1,0,0,1
